TS,C1:M200.r2521[0],C2:M200.r2665,C3:M200.r78[0],Label
2020-08-04 13:36:12.125832,44999.0,45000.0,-1.5530709999999999,1
2020-08-04 13:36:12.131700,44999.0,45000.0,-1.529866,1
2020-08-04 13:36:12.137697,44999.0,45000.0,-1.6017370000000002,1
2020-08-04 13:36:12.143694,44999.0,45000.0,-1.611193,1
2020-08-04 13:36:12.149759,44999.0,45000.0,-1.608826,1
2020-08-04 13:36:12.155724,44999.0,45000.0,-1.592857,1
2020-08-04 13:36:12.161691,44999.0,45000.0,-1.576109,1
2020-08-04 13:36:12.167691,45000.0,45000.0,-1.618369,1
2020-08-04 13:36:12.172709,45000.0,45000.0,-1.597658,1
2020-08-04 13:36:12.178689,45000.0,45000.0,-1.6351229999999999,1
2020-08-04 13:36:12.184702,45000.0,45000.0,-1.654263,1
2020-08-04 13:36:12.190689,45000.0,45000.0,-1.6383159999999999,1
2020-08-04 13:36:12.195689,45000.0,45000.0,-1.6526740000000002,1
2020-08-04 13:36:12.200691,45000.0,45000.0,-1.619984,1
2020-08-04 13:36:12.206688,45000.0,45000.0,-1.664637,1
2020-08-04 13:36:12.211690,45000.0,45000.0,-1.6526880000000002,1
2020-08-04 13:36:12.217689,45000.0,45000.0,-1.6311579999999999,1
2020-08-04 13:36:12.222689,45000.0,45000.0,-1.63914,1
2020-08-04 13:36:12.227691,45000.0,45000.0,-1.6192229999999999,1
2020-08-04 13:36:12.233689,45001.0,45000.0,-1.6144450000000001,1
2020-08-04 13:36:12.238691,45001.0,45000.0,-1.6853900000000002,1
2020-08-04 13:36:12.244691,45001.0,45000.0,-1.651907,1
2020-08-04 13:36:12.250689,45001.0,45000.0,-1.633608,1
2020-08-04 13:36:12.255691,45001.0,45000.0,-1.6782279999999998,1
2020-08-04 13:36:12.261689,45001.0,45000.0,-1.645576,1
2020-08-04 13:36:12.267689,45001.0,45000.0,-1.670277,1
2020-08-04 13:36:12.273697,45001.0,45000.0,-1.643215,1
2020-08-04 13:36:12.279689,45001.0,45000.0,-1.624049,1
2020-08-04 13:36:12.284689,45001.0,45000.0,-1.6455990000000005,1
2020-08-04 13:36:12.290715,45001.0,45000.0,-1.6647619999999999,1
2020-08-04 13:36:12.296689,45001.0,45000.0,-1.6503849999999998,1
2020-08-04 13:36:12.302689,45001.0,45000.0,-1.668824,1
2020-08-04 13:36:12.307691,45001.0,45000.0,-1.628902,1
2020-08-04 13:36:12.313690,45002.0,45000.0,-1.618474,1
2020-08-04 13:36:12.318690,45002.0,45000.0,-1.6783279999999998,1
2020-08-04 13:36:12.324689,45002.0,45000.0,-1.6488669999999999,1
2020-08-04 13:36:12.330690,45002.0,45000.0,-1.648077,1
2020-08-04 13:36:12.336689,45002.0,45000.0,-1.651255,1
